dd  Столбец_1  Столбец_2  Столбец_3  Столбец_4
0          93        226        406        514
1         408        876        673        401
2         229        250        617         56
3         778        935        130        248
4         259        661        222        788
5         925        524        657        938
6         525        443        185        815
7         929        183        647        452
8         347        653        932        697
9         418        188        285          9
10        324        794        781        203
11        182        318        585         38
12        282         38        904        389
13        613        893        438        907
14         33        998        989        165
15        989        996        757        736
16        355        436        830         25
17        781        943         71        606
18        438        524        626        526
19        482        655        305        836
20        667         47        221        387
21        724        527        578        925
22        829        174        757        260
23        959        561        483        857
24         79        251        319        332
25        186        872        596        489
26        808        572        999        902
27        948        828        784        954
28        184        448        368        268
29        687        986        655        141
30        453        341        984        733
31        133        349        385        298
32        721        168        328         13
33        685        593        463        208
34        308        862        813        347
35        284        942        657        231
36        753        225        303        681
37        824        516        909          9
38        201         73        300        553
39        258        203        992        137
0         630         94         76        413
1         423        610        190        491
2         783        713        190        772
3         145        479        889        860
4         543        833        960        987
5         618        293        871        280
6         326        329         86        756
7         600        655        148        936
8         671        907        569         25
9         327        395        466        203
10        739         88        723        648
11        740        623        297        118
12        469        246        959        348
13        602        335        608        977
14        463        233        612        820
15        498        176        140        780
16        175        718        954        590
17         36        647         52        212
18        435        194        248        566
19        793        956         11        240
20        266        117        343        269
21        832        897        574        667
22        585        289        953        483
23        156         81        476        304
24        496        905        454        147
25        868        741        575        237
26        143        309        887        591
27        849        913         20        400
28        542        386        193        531
29        658         70        955        160
30        602        379        212         98
31         59        760        703        491
32        605        144        437        847
33        329        690        879        251
34        840        623        144        452
35         93        754        551        679
36        172        288         30        689
37        209        699        415        284
38        454        787        693        744
39        641        897        986        968
0          60        961         73         25
1         439        544        674        491
2         803        736        896        233
3         196        460        347        654
4         845        783        787        361
5         360        326         73        123
6         802        242        839        549
7         931        378         75        142
8         778        900        372         16
9         980         13        865        988
10        127        684        959        421
11        889        897        601        301
12        290        499        940        399
13        729        808         94        871
14        458          8        597        740
15         44        160        897        726
16        287        180        529        506
17        547        492        556        215
18         84        666        714        622
19        278        194        235        904
20        331        656        901        847
21        350        960        563         33
22        995        337        424        297
23        289        792        494        920
24        306        955        690        386
25         17        830        826        418
26          2        102        371        560
27        826        735        756        753
28        287        158        255        559
29        287        277        563        329
30        530        274        104        817
31        660        380        998        664
32        165        290        252        914
33        921        824        589        539
34        375        265        425        550
35        589        941        811         21
36         65        946        480        509
37        110        246        973        140
38        405        945        889        385
39        152        590        157         87
0          75        924        150        534
1         894          5        102        440
2         966        221         50        200
3         180        896        843        779
4         465        573        215        949
5         954        399          6        826
6         623        466        520        946
7         437        700        699        503
8         992        981        611        456
9         461        197        864        736
10        788        774        643        815
11        270        932        647        220
12        679        537        990        335
13        176        293        585        216
14        510        121          6         18
15        333        322        335        579
16        627        827        163        996
17        878        334        232        410
18        955        403        135        265
19        784        445        866        168
20        548        221        905        191
21        247        728        388        266
22        953        688        990        229
23        125        194        767        489
24        619        574        357        759
25        577        377        547        701
26        678        855        219        806
27        761        174         49        188
28        440        744        469         76
29        206        375        621         56
30        125        556        167        450
31        361        584        917        812
32        726        877        427        658
33        738        140        853        684
34        591         61        467        399
35        271        275        584        724
36        357         90        182        443
37        974         17        993        377
38        962        192        228        963
39        993        835        776        491
